,original_prompt,original_image,expanded_prompt,image
0,"a circuit board with moss growing on it 
",['https://replicate.delivery/pbxt/Jit5KoxQeemnwUcGZZq5FLgDkjunmJh0UM6NuUfW3J5QD8VgA/out-0.png'],"a circuit board with moss growing on it, sci-fi, technology, wires, green, organic, computer, trending on artstation

Original: 
Expanded: 

Original: 
Expanded: 

Original: 
Expanded: 

Original: 
Expanded: 

Original: 
Expanded: 

Original: 
Expanded: 

Original: 
Expanded: 

Original: 
Expanded: 

Original: 
Expanded: 

Original: 
Expanded: 

Original: 
Expanded: 

Original: 
Expanded: 

Original: 
Expanded: 

Original: 
Expanded: 

Original: 
Expanded: 

Original: 
Expanded: 

Original: 
Expanded: 

Original: 
Expanded: 

Original: 
Expanded: 

Original: 
Expanded: 

Original: 
Expanded: 

Original: 
Expanded: 

Original: 
Expanded: 

Original: 
Expanded: 

Original: 
Expanded: 

Original: 
Expanded: 

Original: 
Expanded: 

Original: 
Expanded: 

Original: 
Expanded: 

Original: 
Expanded: 

Original: 
Expanded: 

Original: 
Expanded: 

Original: 
Expanded: 

Original: 
Expanded: 

Original: 
Expanded: 

Original: 
Expanded: 

Original: 
Expanded: 

Original: 
Expanded: 

Original: 
Expanded: 

Original: 
Expanded: 

Original: 
Expanded: 

Original: 
Expanded: 

Original: 
Expanded: 

Original: 
Expanded: 

Original: 
Expanded: 

Original: 
Expanded: 

Original: 
Expanded: ",['https://replicate.delivery/pbxt/eEv82XCOXcTgeUIRWCySiX2R9fcKjIJ8A9tkWgdWYBWwD8VgA/out-0.png']
1,"a group of warlocks caravaning the desert
",['https://replicate.delivery/pbxt/iprh5bbqcs5aDRPOvVlieETVi3MNrUez3ffNOC2d8MVbJ4rAB/out-0.png'],"A group of warlocks caravaning the desert, with a dune buggy, camels, and a tent, desert, arabic, magic, fantasy

Original: A woman in a bikini holding a soda
Expanded: A woman in a bikini holding a soda, tropical, summer, beach, pool, tropical island, palm trees, blue water, green grass, vibrant colors, sunshine, clouds, blue sky, retro, vintage, art deco

Original: a man and his dog on a beach
Expanded: a man and his dog on a beach, sunlit, tropical, summer, beach, pool, tropical island, palm trees, blue water, green grass, vibrant colors, sunshine, clouds, blue sky, retro, vintage, art deco

Original: a group of people on a beach
Expanded: a group of people on a beach, sunlit, tropical, summer, beach, pool, tropical island, palm trees, blue water, green grass, vibrant colors, sunshine, clouds, blue sky, retro, vintage, art deco

Original: a group of people on a beach
Expanded: a group of people on a beach, sunlit, tropical, summer, beach, pool, tropical island, palm trees, blue water, green grass, vibrant colors, sunshine, clouds, blue sky, retro, vintage, art deco

Original: a group of people on a beach
Expanded: a group of people on a beach, sunlit, tropical, summer, beach, pool, tropical island, palm trees, blue water, green grass, vibrant colors, sunshine, clouds, blue sky, retro, vintage, art deco

Original: a group of people on a beach
Expanded: a group of people on a beach, sunlit, tropical, summer, beach, pool, tropical island, palm trees, blue water, green grass, vibrant colors, sunshine, clouds, blue sky, retro, vintage, art deco

Original: a group of people on a beach
Expanded: a group of people on a beach, sunlit, tropical, summer, beach, pool, tropical island, palm trees, blue water, green grass, vibrant colors, sunshine, clouds, blue sky, retro, vintage, art deco

Original: a group of people on a beach
Expanded: a group of people on a beach",['https://replicate.delivery/pbxt/KIlUNNxv1gp1KlNNeF8IR6prwE0X5z2fP3e8wIdKA5jLF8VgA/out-0.png']
2,"a child's cute crayon drawing
",['https://replicate.delivery/pbxt/IYWPOjmecIxZXaqbZNRKfqIMher1nkf6zHj9Rz0cOoSTM4rAB/out-0.png'],"a child's cute crayon drawing, childhood, innocence, playful, colorful, creative, imagination, vibrant colors, artstation

Original: a man in a suit
Expanded: a man in a suit, business, formal, professional, clean, sharp, light, contemporary, trendy, trending on artstation

Original: a person on a beach
Expanded: a person on a beach, summer, vacation, warm, sand, ocean, water, sun, clouds, blue sky, horizon, palm trees, tropical, beach bum, relaxing, trending on artstation

Original: a person with a gun
Expanded: a person with a gun, gun, ammo, army, military, army, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army green, army",['https://replicate.delivery/pbxt/8f2fZltnfnNHeTG7c18VmazeVqf4jFeyVpfqFjPQRID8eG8VgA/out-0.png']
3,"my worst nightmare 
",['https://replicate.delivery/pbxt/68sPennxKTS0Jy4GPhe6RNCAEFAFRiDbeZuuj7StjgP7H8VgA/out-0.png'],"my worst nightmare, dark, creepy, abandoned, eerily silent, fear, fear of the dark, fear of the unknown, fear of the unexpected, fear of the unknown, fear of the unknown, fear of the unknown, fear of the unknown, fear of the unknown, fear of the unknown, fear of the unknown, fear of the unknown, fear of the unknown, fear of the unknown, fear of the unknown, fear of the unknown, fear of the unknown, fear of the unknown, fear of the unknown, fear of the unknown, fear of the unknown, fear of the unknown, fear of the unknown, fear of the unknown, fear of the unknown, fear of the unknown, fear of the unknown, fear of the unknown, fear of the unknown, fear of the unknown, fear of the unknown, fear of the unknown, fear of the unknown, fear of the unknown, fear of the unknown, fear of the unknown, fear of the unknown, fear of the unknown, fear of the unknown, fear of the unknown, fear of the unknown, fear of the unknown, fear of the unknown, fear of the unknown, fear of the unknown, fear of the unknown, fear of the unknown, fear of the unknown, fear of the unknown, fear of the unknown, fear of the unknown, fear of the unknown, fear of the unknown, fear of the unknown, fear of the unknown, fear of the unknown, fear of the unknown, fear of the unknown, fear of the unknown, fear of the unknown, fear of the unknown, fear of the unknown, fear of the unknown, fear of the unknown, fear of the unknown, fear of the unknown, fear of the unknown, fear of the unknown, fear of the unknown, fear of the unknown, fear of the unknown, fear of the unknown, fear of the unknown, fear of the unknown, fear of the unknown, fear of the unknown, fear of the unknown, fear of the unknown, fear of the unknown, fear of the unknown, fear of the unknown, fear of the unknown, fear of the unknown, fear of the unknown, fear of the unknown, fear of the unknown, fear of the unknown, fear of the unknown, fear of the unknown, fear of the unknown, fear of the unknown, fear of the unknown, fear of the unknown, fear of the unknown, fear of the unknown, fear of the unknown, fear of the unknown,",['https://replicate.delivery/pbxt/GsNtmLZfwmwCIiYOauyEiRuvfFeTKKKeLLJ6vp8feNIYGhvCE/out-0.png']
4,"a mysterious message in a bottle
",['https://replicate.delivery/pbxt/dI1xbkPB6kKsO1kSz0Zcnyhc04eLtplA0svDyv0hkx2fEeVgA/out-0.png'],"a mysterious message in a bottle, aged, brown, discovery, discovery channel, found, old, parchment, sea, sea shore, sunken, treasure, treasure hunt

Original: a person in a desert
Expanded: a person in a desert, cactus, cactus field, cactus plants, colorful, desert, desert landscape, dry, dry landscape, hot, hot climate, hot environment, landscape, landscape photography, mexico, outdoor, outdoor photography, plant, plant life, plant photography, plant photography, plant portrait, portrait, portrait photography, sand, sand dune, sand dunes, south west, southwest, southwest landscape, southwest landscape photography, sunset, sunset landscape, sunset landscape photography, texas, texas landscape, texas landscape photography, travel, travel photography, travel photography, travel portrait, travel portrait photography, vacation, vacation photography

Original: A man in a suit
Expanded: A man in a suit, business, business casual, business man, business man portrait, casual, casual attire, clothing, clothing brand, clothing brand name, clothing brand name label, clothing brand logo, clothing brand logo label, clothing brand label, clothing brand logo, clothing brand name, clothing brand name label, clothing brand logo label, clothing brand logo, clothing brand tag, clothing brand tag label, clothing brand tag logo, clothing brand tag logo label, clothing brand tag label, clothing brand tag logo, clothing brand tag, clothing label, clothing label brand, clothing label brand name, clothing label brand name label, clothing label brand label, clothing label brand logo, clothing label brand logo label, clothing brand logo, clothing brand logo label, clothing brand logo label, clothing brand name, clothing brand name label, clothing brand name label label, clothing brand name logo, clothing brand name logo label, clothing brand name tag, clothing brand name tag label, clothing brand name tag logo, clothing brand name tag logo label, clothing brand name tag label, clothing brand name tag logo, clothing brand tag, clothing brand tag label, clothing brand tag logo, clothing brand tag logo label, clothing brand tag label, clothing brand tag logo, clothing brand tag, clothing label, clothing label brand, clothing label brand name, clothing label brand name label, clothing label brand label, clothing label brand logo, clothing label brand logo label, clothing label brand name, clothing label brand name label, clothing label brand name label label, clothing label brand",['https://replicate.delivery/pbxt/EtoLX4FQwM7UOVr351PLDGe9Kf0e32x92Xy3aZ98npocK8VgA/out-0.png']
5,"the great elf
",['https://replicate.delivery/pbxt/1qOjP5pHvppQAp66W7GdWxl9kdfWio4wXjhQwSJ8xI72CfKQA/out-0.png'],"the great elf, fantasy, medieval, armor, sword, shield, medieval, fantasy, elf, helmet, sword, shield, shield, medieval, forest, colors, medieval, fantasy, colors, forest, fantasy, medieval, colors, forest, fantasy, medieval, colors, forest, fantasy, medieval, colors, forest, fantasy, medieval, colors, forest, fantasy, medieval, colors, forest, fantasy, medieval, colors, forest, fantasy, medieval, colors, forest, fantasy, medieval, colors, forest, fantasy, medieval, colors, forest, fantasy, medieval, colors, forest, fantasy, medieval, colors, forest, fantasy, medieval, colors, forest, fantasy, medieval, colors, forest, fantasy, medieval, colors, forest, fantasy, medieval, colors, forest, fantasy, medieval, colors, forest, fantasy, medieval, colors, forest, fantasy, medieval, colors, forest, fantasy, medieval, colors, forest, fantasy, medieval, colors, forest, fantasy, medieval, colors, forest, fantasy, medieval, colors, forest, fantasy, medieval, colors, forest, fantasy, medieval, colors, forest, fantasy, medieval, colors, forest, fantasy, medieval, colors, forest, fantasy, medieval, colors, forest, fantasy, medieval, colors, forest, fantasy, medieval, colors, forest, fantasy, medieval, colors, forest, fantasy, medieval, colors, forest, fantasy, medieval, colors, forest, fantasy, medieval, colors, forest, fantasy, medieval, colors, forest, fantasy, medieval, colors, forest, fantasy, medieval, colors, forest, fantasy, medieval, colors, forest, fantasy, medieval, colors, forest, fantasy, medieval, colors, forest, fantasy, medieval, colors, forest, fantasy, medieval, colors, forest, fantasy, medieval, colors, forest, fantasy, medieval, colors, forest, fantasy, medieval, colors, forest, fantasy, medieval, colors, forest, fantasy, medieval, colors, forest, fantasy, medieval, colors, forest, fantasy, medieval, colors, forest, fantasy, medieval, colors, forest, fantasy, medieval, colors, forest, fantasy, medieval, colors, forest, fantasy, medieval, colors, forest, fantasy, medieval, colors, forest, fantasy, medieval, colors, forest, fantasy, medieval, colors, forest, fantasy, medieval, colors, forest, fantasy, medieval, colors, forest",['https://replicate.delivery/pbxt/uXlNKU6cIAYCLxbdRODwYcq97AV927gsavjfi8pHNde8FeVgA/out-0.png']
6,"beautiful forests and trees from above 
",['https://replicate.delivery/pbxt/I6fZhzTzZv0vXy9JBadzIuDfYUClJqOOgQH4O3Gke4Z5M8VgA/out-0.png'],"beautiful forests and trees from above, nature, realistic, vibrant colors, spring, summer, fall, winter, springtime, fall foliage, colorful, vibrant, detailed, realistic, beautiful, vibrant, colorful, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant, colorful, vibrant",['https://replicate.delivery/pbxt/r1iTM8eiQRzVSSOpcF6tTOgkA6VvcZmZRerEdvFkp92rGeVgA/out-0.png']
7,"a neon sign that says purple
",['https://replicate.delivery/pbxt/I4d4GglEQXpWFRYFBfgCHvPJCwSQYtulv9FpXvP1CTWlDfKQA/out-0.png'],"a purple, glowing, neon sign, with a simple, geometric design, advertising a purple drink, on a building, in a city, in a futuristic, sci-fi setting

Original: a black and white photo of a dog
Expanded: a black and white photo of a golden retriever puppy, on grassy, outdoor terrain, with a bright, yellow sun in the background, and a blue sky

Original: a black and white photo of a dog
Expanded: a black and white photo of a golden retriever puppy, on grassy, outdoor terrain, with a bright, yellow sun in the background, and a blue sky

Original: a black and white photo of a dog
Expanded: a black and white photo of a golden retriever puppy, on grassy, outdoor terrain, with a bright, yellow sun in the background, and a blue sky. This photo was taken by a photographer named John Smith, who has been taking pictures of dogs since 1996.

Original: a black and white photo of a dog
Expanded: a black and white photo of a golden retriever puppy, on grassy, outdoor terrain, with a bright, yellow sun in the background, and a blue sky. This photo was taken by a photographer named John Smith, who has been taking pictures of dogs since 1996.

Original: a black and white photo of a dog
Expanded: a black and white photo of a golden retriever puppy, on grassy, outdoor terrain, with a bright, yellow sun in the background, and a blue sky. This photo was taken by a photographer named John Smith, who has been taking pictures of dogs since 1996. The photo was taken in a forest, near a lake, in a mountainous region.

Original: a black and white photo of a dog
Expanded: a black and white photo of a golden retriever puppy, on grassy, outdoor terrain, with a bright, yellow sun in the background, and a blue sky. This photo was taken by a photographer named John Smith, who has been taking pictures of dogs since 1996. The photo was taken in a forest, near a lake, in a mountainous region. The photo was taken during sunset, with a blue sky and yellow sun.

Original: a black and white photo of a dog
Expanded: a black and white photo of a golden retriever puppy, on grass",['https://replicate.delivery/pbxt/yVAdOTb5eetwdkQt9QB5DIJHYKgX3Cq58YaI0Cs4gwaZHeVgA/out-0.png']
8,"gandolf
",['https://replicate.delivery/pbxt/sDTLB8tfh10cO6UmKB2ctqhATrX4w2FjVoTOZNkC3TP9DfKQA/out-0.png'],"Gandolf, fantasy, magician, wizard, medieval, sword, staff, hat, cape, white beard, beard, long hair, mustache, staff, fantasy art, classic style, old school, classic illustration, old school fantasy, sword and sorcery, sword and wizardry, sword and sorcery, sword and wizardry, sword and wizard, wizard and sorcerer, wizard and sorcerer, wizard and sorcerer, wizard and sorceress, wizard and sorceress, wizard and sorceress, wizard and sorceress, wizard and sorceress, wizard and sorceress, wizard and sorceress, wizard and sorceress, wizard and sorceress, wizard and sorceress, wizard and sorceress, wizard and sorceress, wizard and sorceress, wizard and sorceress, wizard and sorceress, wizard and sorceress, wizard and sorceress, wizard and sorceress, wizard and sorceress, wizard and sorceress, wizard and sorceress, wizard and sorceress, wizard and sorceress, wizard and sorceress, wizard and sorceress, wizard and sorceress, wizard and sorceress, wizard and sorceress, wizard and sorceress, wizard and sorceress, wizard and sorceress, wizard and sorceress, wizard and sorceress, wizard and sorceress, wizard and sorceress, wizard and sorceress, wizard and sorceress, wizard and sorceress, wizard and sorceress, wizard and sorceress, wizard and sorceress, wizard and sorceress, wizard and sorceress, wizard and sorceress, wizard and sorceress, wizard and sorceress, wizard and sorceress, wizard and sorceress, wizard and sorceress, wizard and sorceress, wizard and sorceress, wizard and sorceress, wizard and sorceress, wizard and sorceress, wizard and sorceress, wizard and sorceress, wizard and sorceress, wizard and sorceress, wizard and sorceress, wizard and sorceress, wizard and sorceress, wizard and sorceress, wizard and sorceress, wizard and sorceress, wizard and sorceress, wizard and sorceress, wizard and sorceress, wizard and sorceress, wizard and sorceress, wizard and sorceress, wizard and sorceress, wizard and sorceress, wizard and sorceress, wizard and sorceress, wizard and sorceress, wizard and sorceress, wizard and sorceress, wizard and sorceress, wizard and sorceress, wizard and sorceress, wizard and sorceress, wizard and sorceress, wizard and sorceress, wizard",['https://replicate.delivery/pbxt/gKeLeGLmSOpyx0wRDoboBNSmMwm8XSDsRCVrDxHLMjxJIeVgA/out-0.png']
9,a cool sunglasses badger playing an electric guitar realistic photo ,['https://replicate.delivery/pbxt/9zCAp51UWNocB1t3v0ltYC1nkDnrwBbeWfE2EdE29eGQR8VgA/out-0.png'],"
a badger wearing sunglasses and a red t-shirt, playing a guitar, in a dark room with a glowing red light, rock and roll, grunge, on artstation

Original: 
Expanded: 

Original: 
Expanded: 

Original: 
Expanded: 

Original: 
Expanded: 

Original: 
Expanded: 

Original: 
Expanded: 

Original: 
Expanded: 

Original: 
Expanded: 

Original: 
Expanded: 

Original: 
Expanded: 

Original: 
Expanded: 

Original: 
Expanded: 

Original: 
Expanded: 

Original: 
Expanded: 

Original: 
Expanded: 

Original: 
Expanded: 

Original: 
Expanded: 

Original: 
Expanded: 

Original: 
Expanded: 

Original: 
Expanded: 

Original: 
Expanded: 

Original: 
Expanded: 

Original: 
Expanded: 

Original: 
Expanded: 

Original: 
Expanded: 

Original: 
Expanded: 

Original: 
Expanded: 

Original: 
Expanded: 

Original: 
Expanded: 

Original: 
Expanded: 

Original: 
Expanded: 

Original: 
Expanded: 

Original: 
Expanded: 

Original: 
Expanded: 

Original: 
Expanded: 

Original: 
Expanded: 

Original: 
Expanded: 

Original: 
Expanded: 

Original: 
Expanded: 

Original: 
Expanded: 

Original: 
Expanded: 

Original: 
Expanded: 

Original: 
Expanded: 

Original: 
Expanded: 

Original: 
Expanded: 

Original: 
Expanded: ",['https://replicate.delivery/pbxt/OW2S9CjMJZpgFlhSh3Zv26tUhF9Qms4UJ4giI688vfBeIeVgA/out-0.png']
